+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                    clk_i |                    clk_i |                                                          core_i/id_stage_i/mult_operand_c_ex_o_reg[24]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[2]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_a_ex_o_reg[2]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[7]/CE|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[5]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_b_ex_o_reg[13]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_a_ex_o_reg[22]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_a_ex_o_reg[23]/CE|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operator_ex_o_reg[0]/CE|
|                    clk_i |                    clk_i |                                                        core_i/id_stage_i/regfile_alu_waddr_ex_o_reg[0]/CE|
|                    clk_i |                    clk_i |                                                        core_i/id_stage_i/regfile_alu_waddr_ex_o_reg[2]/CE|
|                    clk_i |                    clk_i |                                                        core_i/id_stage_i/regfile_alu_waddr_ex_o_reg[3]/CE|
|                    clk_i |                    clk_i |                                                        core_i/id_stage_i/regfile_alu_waddr_ex_o_reg[4]/CE|
|                    clk_i |                    clk_i |                                                        core_i/id_stage_i/regfile_alu_waddr_ex_o_reg[1]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_b_ex_o_reg[27]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_b_ex_o_reg[25]/CE|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/alu_operand_b_ex_o_reg[21]/CE|
